run	type	lib	phenotype
SRR15911538	Oconee	HL17	protandrous
SRR15911486	Pawnee	ZL49-2	protandrous
SRR15911547	Barton	ML11	protandrous
SRR15911526	VC1-68	VC1-68	protandrous
SRR15911505	Sumner	ML8	protogynous
SRR15911529	Shoshoni	ML34	protogynous
SRR15911471	Sioux	HL42	protogynous
SRR15911541	Dependable	ML1	protogynous
SRR15911525	Excel	ML3	protogynous
SRR15911544	Farley	ML20	protogynous
SRR15911539	Kiowa	ML23	protogynous
SRR15911533	Mahan	ZL57	protogynous
